Date,Price
2020-06-30,47877.0
2020-07-01,47379.0
2020-07-02,47482.0
2020-07-06,47113.0
2020-07-07,47481.0
2020-07-08,48109.0
2020-07-09,47560.0
2020-07-10,47787.0
2020-07-13,48012.0
2020-07-14,48187.0
2020-07-15,48288.0
2020-07-16,47664.0
2020-07-17,47950.0
2020-07-20,47974.0
2020-07-21,48735.0
2020-07-22,49164.0
2020-07-23,49857.0
2020-07-24,50065.0
2020-07-27,50921.0
2020-07-28,51447.0
2020-07-29,51742.0
2020-07-30,51268.0
2020-07-31,51919.0
2020-08-03,51954.0
2020-08-04,53175.0
2020-08-05,53912.0
2020-08-06,54188.0
2020-08-07,53107.0
2020-08-10,53574.0
2020-08-11,51196.0
2020-08-12,51120.0
2020-08-13,51608.0
2020-08-14,51264.0
2020-08-17,52446.0
2020-08-18,52895.0
2020-08-19,51676.0
2020-08-20,51136.0
2020-08-21,51180.0
2020-08-24,50945.0
2020-08-25,50172.0
2020-08-26,50967.0
2020-08-27,50321.0
2020-08-28,51125.0
2020-08-31,50754.0
2020-09-01,51146.0
2020-09-02,49995.0
2020-09-03,49804.0
2020-09-04,49844.0
2020-09-08,50217.0
2020-09-09,50615.0
2020-09-10,50699.0
2020-09-11,50258.0
2020-09-14,50622.0
2020-09-15,50799.0
2020-09-16,51028.0
2020-09-17,50331.0
2020-09-18,50668.0
2020-09-21,49314.0
2020-09-22,49277.0
2020-09-23,48222.0
2020-09-24,48621.0
2020-09-25,48282.0
2020-09-28,48686.0
2020-09-29,49429.0
2020-09-30,49165.0
2020-10-01,49615.0
2020-10-02,49075.0
2020-10-05,49464.0
2020-10-06,49025.0
2020-10-07,49044.0
2020-10-08,48992.0
2020-10-09,49617.0
2020-10-12,49514.0
2020-10-13,48862.0
2020-10-14,49374.0
2020-10-15,49206.0
2020-10-16,49194.0
2020-10-19,49388.0
2020-10-20,49580.0
2020-10-21,49998.0
2020-10-22,49410.0
2020-10-23,49459.0
2020-10-26,49546.0
2020-10-27,49790.0
2020-10-28,48844.0
2020-10-29,48986.0
2020-10-30,49180.0
2020-11-02,49711.0
2020-11-03,50124.0
2020-11-04,49892.0
2020-11-05,51038.0
2020-11-06,50990.0
2020-11-09,48360.0
2020-11-10,48922.0
2020-11-11,48754.0
2020-11-12,49256.0
2020-11-13,49797.0
2020-11-16,49588.0
2020-11-17,49468.0
2020-11-18,49220.0
2020-11-19,48855.0
2020-11-20,48945.0
2020-11-23,48076.0
2020-11-24,47266.0
2020-11-25,47108.0
2020-11-27,46543.0
2020-11-30,46313.0
2020-12-01,47369.0
2020-12-02,47433.0
2020-12-03,47726.0
2020-12-04,47834.0
2020-12-07,48460.0
2020-12-08,48846.0
2020-12-09,47711.0
2020-12-10,47819.0
2020-12-11,47846.0
2020-12-14,47565.0
2020-12-15,48258.0
2020-12-16,48292.0
2020-12-17,49005.0
2020-12-18,48909.0
2020-12-21,48789.0
2020-12-22,48680.0
2020-12-23,49113.0
2020-12-24,48964.0
2020-12-28,48794.0
2020-12-29,48763.0
2020-12-30,48995.0
2020-12-31,48836.0
2021-01-04,50139.0
2021-01-05,50502.0
2021-01-06,49354.0
2021-01-07,49484.0
2021-01-08,47516.0
2021-01-11,47870.0
2021-01-12,47788.0
2021-01-13,47838.0
2021-01-14,47756.0
2021-01-15,47161.0
2021-01-19,47489.0
2021-01-20,48173.0
2021-01-21,47972.0
2021-01-22,47754.0
2021-01-25,47761.0
2021-01-26,47635.0
2021-01-27,47454.0
2021-01-28,47350.0
2021-01-29,47528.0
2021-02-01,47854.0
2021-02-02,47212.0
2021-02-03,47125.0
2021-02-04,45974.0
2021-02-05,46596.0
2021-02-08,47032.0
2021-02-09,47213.0
2021-02-10,47301.0
2021-02-11,46867.0
2021-02-12,46719.0
2021-02-16,46048.0
2021-02-17,45565.0
2021-02-18,45538.0
2021-02-19,45479.0
2021-02-22,46237.0
2021-02-23,46109.0
2021-02-24,45862.0
2021-02-25,45315.0
2021-02-26,44590.0
2021-03-01,44716.0
2021-03-02,44816.0
2021-03-03,44336.0
2021-03-04,43708.0
2021-03-05,43802.0
2021-03-08,43279.0
2021-03-09,44402.0
2021-03-10,44192.0
2021-03-11,44170.0
2021-03-12,44058.0
2021-03-15,44325.0
2021-03-16,44267.0
2021-03-17,44170.0
2021-03-18,44173.0
2021-03-19,44637.0
2021-03-22,44383.0
2021-03-23,44034.0
2021-03-24,44385.0
2021-03-25,44200.0
2021-03-26,44367.0
2021-03-29,43752.0
2021-03-30,43207.0
2021-03-31,44399.0
2021-04-01,44581.0
2021-04-05,44699.0
2021-04-06,45015.0
2021-04-07,45108.0
2021-04-08,46106.0
2021-04-09,45839.0
2021-04-12,45634.0
2021-04-13,46191.0
2021-04-14,46008.0
2021-04-15,46720.0
2021-04-16,46893.0
2021-04-19,46537.0
2021-04-20,46942.0
2021-04-21,47700.0
2021-04-22,47392.0
2021-04-23,47068.0
2021-04-26,46986.0
2021-04-27,46921.0
2021-04-28,46645.0
2021-04-29,46346.0
2021-04-30,46197.0
2021-05-03,46820.0
2021-05-04,46251.0
2021-05-05,46430.0
2021-05-06,47261.0
2021-05-07,47548.0
2021-05-10,47503.0
2021-05-11,47598.0
2021-05-12,47173.0
2021-05-13,47401.0
2021-05-14,47614.0
2021-05-17,48271.0
2021-05-18,48273.0
2021-05-19,48528.0
2021-05-20,48604.0
2021-05-21,48339.0
2021-05-24,48468.0
2021-05-25,48766.0
2021-05-26,48827.0
2021-05-27,48595.0
2021-05-28,48776.0
2021-06-01,48655.0
2021-06-02,49020.0
2021-06-03,48160.0
2021-06-04,48691.0
2021-06-07,48782.0
2021-06-08,48596.0
2021-06-09,48733.0
2021-06-10,48765.0
2021-06-11,48351.0
2021-06-14,48150.0
2021-06-15,47871.0
2021-06-16,48108.0
2021-06-17,46191.0
2021-06-18,46305.0
2021-06-21,46600.0
2021-06-22,46451.0
2021-06-23,46731.0
2021-06-24,46502.0
2021-06-25,46493.0
2021-06-28,46586.0
2021-06-29,46191.0
2021-06-30,46402.0
2021-07-01,46588.0
2021-07-02,46873.0
2021-07-06,47016.0
2021-07-07,47508.0
2021-07-08,47496.0
2021-07-09,47706.0
2021-07-12,47440.0
2021-07-13,47576.0
2021-07-14,48043.0
2021-07-15,48028.0
2021-07-16,47707.0
2021-07-19,47615.0
2021-07-20,47904.0
2021-07-21,47395.0
2021-07-22,47395.0
2021-07-23,47308.0
2021-07-26,47235.0
2021-07-27,47155.0
2021-07-28,47290.0
2021-07-29,48051.0
2021-07-30,47474.0
2021-08-02,47700.0
2021-08-03,47460.0
2021-08-04,47395.0
2021-08-05,47235.0
2021-08-06,45991.0
2021-08-09,45284.0
2021-08-10,45410.0
2021-08-11,45959.0
2021-08-12,45717.0
2021-08-13,46500.0
2021-08-16,46779.0
2021-08-17,46678.0
2021-08-18,46733.0
2021-08-19,46637.0
2021-08-20,46758.0
2021-08-23,47260.0
2021-08-24,47198.0
2021-08-25,46768.0
2021-08-26,46844.0
2021-08-27,47518.0
2021-08-30,46898.0
2021-08-31,46999.0
2021-09-01,46685.0
2021-09-02,46564.0
2021-09-03,47180.0
